Timestamp,Latitude,Longitude,Status
56:40.4,23.136,79.882,Normal
56:50.4,23.1360404,79.88268687,Normal
57:00.4,23.13608081,79.88337374,Normal
57:10.4,23.13612121,79.88406061,Normal
57:20.4,23.13616162,79.88474747,Normal
57:30.4,23.13620202,79.88543434,Normal
57:40.4,23.13624242,79.88612121,Normal
57:50.4,23.13628283,79.88680808,Normal
58:00.4,23.13632323,79.88749495,Normal
58:10.4,23.13636364,79.88818182,Normal
58:20.4,23.13640404,79.88886869,Normal
58:30.4,23.13644444,79.88955556,Normal
58:40.4,23.13648485,79.89024242,Normal
58:50.4,23.13652525,79.89092929,Normal
59:00.4,23.13656566,79.89161616,Normal
59:10.4,23.13660606,79.89230303,Normal
59:20.4,23.13664646,79.8929899,Normal
59:30.4,23.13668687,79.89367677,Normal
59:40.4,23.13672727,79.89436364,Normal
59:50.4,23.13676768,79.89505051,Normal
00:00.4,23.13680808,79.89573737,Normal
00:10.4,23.13684848,79.89642424,Normal
00:20.4,23.13688889,79.89711111,Normal
00:30.4,23.13692929,79.89779798,Normal
00:40.4,23.1369697,79.89848485,Normal
00:50.4,23.1370101,79.89917172,Normal
01:00.4,23.13705051,79.89985859,Normal
01:10.4,23.13709091,79.90054545,Normal
01:20.4,23.13713131,79.90123232,Normal
01:30.4,23.13717172,79.90191919,Normal
01:40.4,23.13721212,79.90260606,Normal
01:50.4,23.13721212,79.90260606,Prolonged Stop
02:00.4,23.13721212,79.90260606,Prolonged Stop
02:10.4,23.13721212,79.90260606,Prolonged Stop
02:20.4,23.13721212,79.90260606,Prolonged Stop
02:30.4,23.13721212,79.90260606,Prolonged Stop
02:40.4,23.13721212,79.90260606,Prolonged Stop
02:50.4,23.13721212,79.90260606,Prolonged Stop
03:00.4,23.13721212,79.90260606,Prolonged Stop
03:10.4,23.13721212,79.90260606,Prolonged Stop
03:20.4,23.13721212,79.90260606,Prolonged Stop
03:30.4,23.13721212,79.90260606,Prolonged Stop
03:40.4,23.13721212,79.90260606,Prolonged Stop
03:50.4,23.13773737,79.91153535,Normal
04:00.4,23.13777778,79.91222222,Normal
04:10.4,23.13781818,79.91290909,Normal
04:20.4,23.13785859,79.91359596,Normal
04:30.4,23.13789899,79.91428283,Normal
04:40.4,23.13793939,79.9149697,Normal
04:50.4,23.1379798,79.91565657,Normal
05:00.4,23.1380202,79.91634343,Normal
05:10.4,23.13806061,79.9170303,Normal
05:20.4,23.13810101,79.91771717,Normal
05:30.4,23.13814141,79.91840404,Normal
05:40.4,23.13818182,79.91909091,Normal
05:50.4,23.13822222,79.91977778,Normal
06:00.4,23.13826263,79.92046465,Normal
06:10.4,23.13830303,79.92115152,Normal
06:20.4,23.13834343,79.92183838,Normal
06:30.4,23.13838384,79.92252525,Normal
06:40.4,23.13842424,79.92321212,Normal
06:50.4,23.13846465,79.92389899,Normal
07:00.4,23.13850505,79.92458586,Normal
07:10.4,23.13854545,79.92527273,Normal
07:20.4,23.13858586,79.9259596,Normal
07:30.4,23.13862626,79.92664646,Normal
07:40.4,23.13866667,79.92733333,Normal
07:50.4,23.13870707,79.9280202,Normal
08:00.4,23.13874747,79.92870707,Normal
08:10.4,23.13878788,79.92939394,Normal
08:20.4,23.14382828,79.92508081,Deviation
08:30.4,23.14386869,79.92576768,Deviation
08:40.4,23.14390909,79.92645455,Deviation
08:50.4,23.14394949,79.92714141,Deviation
09:00.4,23.1439899,79.92782828,Deviation
09:10.4,23.1440303,79.92851515,Deviation
09:20.4,23.14407071,79.92920202,Deviation
09:30.4,23.14411111,79.92988889,Deviation
09:40.4,23.14415152,79.93057576,Deviation
09:50.4,23.14419192,79.93126263,Deviation
10:00.4,23.13923232,79.93694949,Normal
10:10.4,23.13927273,79.93763636,Normal
10:20.4,23.13931313,79.93832323,Normal
10:30.4,23.13935354,79.9390101,Normal
10:40.4,23.13939394,79.93969697,Normal
10:50.4,23.13943434,79.94038384,Normal
11:00.4,23.13947475,79.94107071,Normal
11:10.4,23.13951515,79.94175758,Normal
11:20.4,23.13955556,79.94244444,Normal
11:30.4,23.13959596,79.94313131,Normal
11:40.4,23.13963636,79.94381818,Normal
11:50.4,23.13967677,79.94450505,Normal
12:00.4,23.13971717,79.94519192,Normal
12:10.4,23.13975758,79.94587879,Normal
12:20.4,23.13979798,79.94656566,Normal
12:30.4,23.13983838,79.94725253,Normal
12:40.4,23.13987879,79.94793939,Normal
12:50.4,23.13991919,79.94862626,Normal
13:00.4,23.1399596,79.94931313,Normal
13:10.4,23.14,79.95,Normal
